CNPJ_FUNDO;DT_REG;CLASSE;DT_INI_CLASSE;DT_FIM_CLASSE
09.101.493/0001-20;2007-10-24;Fundo de Ações;2008-01-28;
09.101.511/0001-74;2007-10-24;Fundo Multimercado;2007-09-14;
09.101.539/0001-01;2007-10-24;Fundo Multimercado;2007-09-14;
09.101.547/0001-58;2007-10-24;Fundo Multimercado;2007-09-14;
09.101.550/0001-71;2007-10-24;Fundo Multimercado;2007-09-14;
09.104.299/0001-07;2008-04-24;Fundo de Renda Fixa;2007-08-30;
09.104.310/0001-20;2008-04-02;Fundo de Renda Fixa;2007-08-30;2008-03-25
09.104.310/0001-20;2008-04-02;Fundo Multimercado;2008-03-25;
09.104.313/0001-64;2008-01-17;Fundo de Renda Fixa;2007-08-30;2008-03-24
09.104.313/0001-64;2008-01-17;Fundo Multimercado;2008-03-24;
09.104.321/0001-00;2008-01-17;Fundo de Renda Fixa;2007-08-30;2008-03-24
09.104.321/0001-00;2008-01-17;Fundo Multimercado;2008-03-24;
09.104.327/0001-88;2008-01-17;Fundo de Renda Fixa;2007-08-30;
09.104.331/0001-46;2008-03-26;Fundo de Renda Fixa;2007-08-30;2008-03-27
09.104.331/0001-46;2008-03-26;Fundo de Ações;2008-03-27;
09.104.338/0001-68;2008-03-26;Fundo de Renda Fixa;2007-08-30;2008-03-27
09.104.338/0001-68;2008-03-26;Fundo de Ações;2008-03-27;
09.104.343/0001-70;2008-04-24;Fundo de Renda Fixa;2007-08-30;
09.105.250/0001-60;2007-10-11;Fundo Multimercado;2007-09-14;
09.105.261/0001-40;2007-10-11;Fundo Multimercado;2007-09-14;
09.107.355/0001-59;2007-10-25;Fundo Multimercado;2007-10-25;
09.107.373/0001-30;2007-11-12;Fundo de Ações;2007-11-08;
09.107.390/0001-78;2007-10-29;Fundo Multimercado;2007-10-29;
09.110.183/0001-72;2007-10-30;Fundo Multimercado;2007-08-01;
09.110.186/0001-06;2007-10-31;Fundo Multimercado;2007-09-10;
09.110.189/0001-40;2007-11-01;Fundo Multimercado;2007-09-10;
09.110.196/0001-41;2007-11-06;Fundo Multimercado;2007-09-10;
09.110.203/0001-05;2007-11-07;Fundo Multimercado;2007-09-10;
09.110.208/0001-38;2007-11-08;Fundo Multimercado;2007-09-10;
09.110.213/0001-40;2007-11-09;Fundo Multimercado;2007-11-09;
09.110.217/0001-29;2007-11-09;Fundo Multimercado;2007-11-09;
09.110.223/0001-86;2007-11-14;Fundo Multimercado;2007-09-10;
09.110.225/0001-75;2008-01-16;Fundo Multimercado;2008-01-16;
09.110.232/0001-77;2007-11-26;Fundo Multimercado;2007-09-10;
09.110.239/0001-99;2007-11-29;Fundo Multimercado;2007-09-10;
09.110.246/0001-90;2007-11-30;Fundo de Ações;2007-09-10;2009-02-16
09.110.246/0001-90;2007-11-30;Fundo Multimercado;2009-02-16;
09.110.250/0001-59;2007-11-30;Fundo Multimercado;2007-09-10;
09.110.254/0001-37;2007-12-03;Fundo Multimercado;2007-09-10;
09.110.281/0001-00;2021-12-07;Fundo de Ações;2021-11-22;
09.115.233/0001-04;2007-10-10;Fundo Referenciado;2007-10-04;2016-06-21
09.115.233/0001-04;2007-10-10;Fundo de Renda Fixa;2016-06-21;
09.120.745/0001-69;2007-11-08;Fundo de Ações;2007-09-10;
09.120.749/0001-47;2007-11-14;Fundo Multimercado;2007-09-10;
09.120.756/0001-49;2007-11-29;Fundo Multimercado;2007-09-10;
09.120.757/0001-93;2007-11-30;Fundo de Ações;2007-09-10;
09.120.770/0001-42;2007-11-30;Fundo de Ações;2007-09-10;
09.120.774/0001-20;2007-12-06;Fundo Multimercado;2007-09-10;2009-10-09
09.120.774/0001-20;2007-12-06;Fundo de Ações;2009-10-09;
09.120.777/0001-64;2007-10-31;Fundo Multimercado;2007-09-10;
09.120.778/0001-09;2007-10-31;Fundo Multimercado;2007-09-10;2019-07-01
09.120.778/0001-09;2007-10-31;Fundo de Renda Fixa;2019-07-01;
09.120.782/0001-77;2007-12-07;Fundo de Ações;2007-09-10;2012-10-15
09.120.782/0001-77;2007-12-07;Fundo Multimercado;2012-10-15;
09.121.883/0001-62;2008-04-07;Fundo Multimercado;2008-03-04;
09.121.886/0001-04;2008-01-03;Fundo Multimercado;2007-12-28;
09.121.888/0001-95;2008-01-10;Fundo Multimercado;2008-01-03;
09.121.892/0001-53;2008-01-11;Fundo Multimercado;2008-01-08;
09.121.900/0001-61;2007-11-26;Fundo Multimercado;2007-11-23;
09.123.824/0001-23;2007-11-01;Fundo Multimercado;2007-10-08;
09.124.601/0001-80;2008-03-05;Fundo Multimercado;2007-09-18;
09.124.606/0001-03;2008-03-05;Fundo Multimercado;2007-09-18;
09.124.614/0001-50;2008-03-05;Fundo Multimercado;2007-09-18;
09.124.705/0001-95;2008-03-05;Fundo Multimercado;2007-09-18;
09.124.953/0001-36;2008-01-03;Fundo Multimercado;2007-09-18;2008-03-19
09.124.953/0001-36;2008-01-03;Fundo de Renda Fixa;2008-03-19;
09.124.963/0001-71;2008-01-03;Fundo Multimercado;2007-09-18;2008-03-14
09.124.963/0001-71;2008-01-03;Fundo de Renda Fixa;2008-03-14;
09.124.970/0001-73;2008-01-03;Fundo Multimercado;2007-09-18;2008-03-06
09.124.970/0001-73;2008-01-03;Fundo de Renda Fixa;2008-03-06;
09.124.997/0001-66;2008-01-03;Fundo Multimercado;2007-09-18;
09.125.007/0001-04;2008-01-03;Fundo Multimercado;2007-09-18;2008-09-05
09.125.007/0001-04;2008-01-03;Fundo de Ações;2008-09-05;
09.125.011/0001-72;2008-03-10;Fundo Multimercado;2007-09-18;2008-03-31
09.125.011/0001-72;2008-03-10;Fundo de Ações;2008-03-31;
09.125.019/0001-39;2008-03-10;Fundo Multimercado;2007-09-18;2008-04-15
09.125.019/0001-39;2008-03-10;Fundo de Renda Fixa;2008-04-15;
09.125.039/0001-00;2008-03-10;Fundo Multimercado;2007-09-18;2008-04-15
09.125.039/0001-00;2008-03-10;Fundo de Renda Fixa;2008-04-15;2010-10-13
09.125.039/0001-00;2008-03-10;Fundo Multimercado;2010-10-13;
09.125.046/0001-01;2008-03-10;Fundo Multimercado;2007-09-18;
09.125.049/0001-45;2008-03-10;Fundo Multimercado;2007-09-18;2008-04-29
09.125.049/0001-45;2008-03-10;Fundo de Renda Fixa;2008-04-29;
09.125.073/0001-84;2008-03-10;Fundo Multimercado;2007-09-18;2008-03-26
09.125.073/0001-84;2008-03-10;Fundo Referenciado;2008-03-26;
09.125.079/0001-51;2008-03-10;Fundo Multimercado;2007-09-18;2008-09-12
09.125.079/0001-51;2008-03-10;Fundo de Renda Fixa;2008-09-12;
09.125.094/0001-08;2008-03-10;Fundo Multimercado;2007-09-18;
09.125.104/0001-05;2008-06-03;Fundo Multimercado;2007-09-18;
09.125.128/0001-56;2008-06-03;Fundo Multimercado;2007-09-18;2008-07-11
09.125.128/0001-56;2008-06-03;Fundo de Renda Fixa;2008-07-11;
09.125.134/0001-03;2008-06-03;Fundo Multimercado;2007-09-18;2008-08-27
09.125.134/0001-03;2008-06-03;Fundo de Renda Fixa;2008-08-27;
09.125.151/0001-40;2008-06-03;Fundo Multimercado;2007-09-18;
09.125.159/0001-07;2008-06-03;Fundo Multimercado;2007-09-18;2008-07-18
09.125.159/0001-07;2008-06-03;Fundo de Renda Fixa;2008-07-18;2010-03-29
09.125.159/0001-07;2008-06-03;Fundo Multimercado;2010-03-29;
09.125.167/0001-53;2007-12-11;Fundo de Ações;2007-12-11;
09.125.209/0001-56;2008-06-03;Fundo Multimercado;2007-09-18;2008-06-27
09.125.209/0001-56;2008-06-03;Fundo de Renda Fixa;2008-06-27;
09.125.218/0001-47;2008-06-03;Fundo Multimercado;2007-09-18;
09.125.234/0001-30;2008-06-03;Fundo Multimercado;2007-09-18;
09.125.236/0001-29;2008-06-19;Fundo Multimercado;2007-09-18;
09.125.272/0001-92;2008-06-19;Fundo Multimercado;2007-09-18;
09.125.281/0001-83;2008-06-19;Fundo Multimercado;2007-09-18;
09.125.288/0001-03;2008-06-19;Fundo Multimercado;2007-09-18;
09.125.292/0001-63;2008-01-21;Fundo Multimercado;2008-01-21;
09.125.491/0001-71;2007-11-19;Fundo de Ações;2007-11-19;
09.125.500/0001-24;2007-12-12;Fundo Multimercado;2007-12-12;
09.125.509/0001-35;2008-01-30;Fundo de Renda Fixa;2008-01-30;
09.125.516/0001-37;2008-04-16;Fundo Multimercado;2008-04-16;
09.125.523/0001-39;2007-11-09;Fundo Multimercado;2007-09-18;2008-03-03
09.125.523/0001-39;2007-11-09;Fundo de Ações;2008-03-03;
09.125.533/0001-74;2008-05-08;Fundo Multimercado;2008-05-08;
09.125.541/0001-10;2008-03-06;Fundo Multimercado;2007-09-18;
09.125.549/0001-87;2007-12-03;Fundo Multimercado;2007-09-18;
09.125.557/0001-23;2007-12-03;Fundo Multimercado;2007-09-18;
09.125.605/0001-83;2007-12-03;Fundo Multimercado;2007-09-18;
09.125.612/0001-85;2007-12-03;Fundo Multimercado;2007-09-18;2008-01-21
09.125.612/0001-85;2007-12-03;Fundo de Renda Fixa;2008-01-21;
09.125.617/0001-08;2007-12-03;Fundo Multimercado;2007-09-18;2008-03-03
09.125.617/0001-08;2007-12-03;Fundo de Ações;2008-03-03;
09.125.636/0001-34;2007-12-03;Fundo Multimercado;2007-09-18;2008-09-02
09.125.636/0001-34;2007-12-03;Fundo de Renda Fixa;2008-09-02;
09.125.638/0001-23;2007-11-30;Fundo Multimercado;2007-09-18;
09.125.649/0001-03;2007-11-30;Fundo Multimercado;2007-09-18;2015-02-25
09.125.649/0001-03;2007-11-30;Fundo de Renda Fixa;2015-02-25;
09.125.656/0001-05;2008-03-06;Fundo Multimercado;2007-09-18;
09.127.753/0001-37;2007-11-01;Fundo Multimercado;2007-10-30;
09.127.959/0001-67;2008-07-23;Fundo Multimercado;2008-07-11;
09.130.373/0001-51;2008-07-21;Fundo Multimercado;2007-09-17;
09.130.377/0001-30;2009-07-24;Fundo Multimercado;2007-09-17;
09.130.388/0001-10;2009-02-04;Fundo Multimercado;2007-09-17;
09.130.395/0001-11;2009-02-27;Fundo de Ações;2007-09-17;
09.130.405/0001-19;2008-09-15;Fundo Multimercado;2007-09-17;
09.130.411/0001-76;2009-02-27;Fundo de Ações;2007-09-17;
09.130.426/0001-34;2009-02-09;Fundo de Renda Fixa;2007-09-17;
09.130.438/0001-69;2007-12-26;Fundo de Renda Fixa;2007-09-17;
09.130.456/0001-40;2008-12-15;Fundo de Renda Fixa;2007-09-17;
09.130.481/0001-24;2009-07-01;Fundo Multimercado;2007-09-17;
09.130.490/0001-15;2008-02-29;Fundo Multimercado;2007-09-17;
09.130.497/0001-37;2008-03-14;Fundo Multimercado;2007-09-17;
09.130.504/0001-09;2008-03-17;Fundo de Renda Fixa;2007-09-17;
09.130.513/0001-91;2008-05-02;Fundo Multimercado;2007-07-09;2008-10-10
09.130.513/0001-91;2008-05-02;Fundo Referenciado;2008-10-10;
09.130.516/0001-25;2008-05-14;Fundo de Renda Fixa;2007-09-17;
09.130.523/0001-27;2008-07-01;Fundo Multimercado;2007-09-17;
09.130.533/0001-62;2008-07-01;Fundo Multimercado;2007-09-17;
09.130.552/0001-99;2008-07-10;Fundo Multimercado;2007-09-17;
09.130.565/0001-68;2008-07-23;Fundo Multimercado;2007-09-17;
09.130.745/0001-40;2007-11-30;Fundo de Ações;2007-09-10;
09.134.614/0001-30;2007-11-29;Fundo de Ações;2007-11-29;
09.136.639/0001-73;2007-11-12;Fundo Multimercado;2007-11-08;
09.136.647/0001-10;2007-12-12;Fundo Multimercado;2007-12-12;
09.136.655/0001-66;2007-12-20;Fundo de Ações;2007-12-18;2013-05-16
09.136.655/0001-66;2007-12-20;Fundo Multimercado;2013-05-16;
09.136.668/0001-35;2008-01-08;Fundo de Renda Fixa;2008-01-04;
09.137.325/0001-95;2008-01-08;Fundo de Ações;2008-01-07;
09.137.330/0001-06;2008-03-04;Fundo de Renda Fixa;2008-02-28;
09.137.336/0001-75;2008-01-31;Fundo Multimercado;2008-01-14;
09.139.699/0001-40;2007-12-28;Fundo de Ações;2007-09-13;
09.141.867/0001-31;2007-11-12;Fundo de Ações;2007-10-18;2014-10-06
09.141.867/0001-31;2007-11-12;Fundo Multimercado;2014-10-06;
09.141.874/0001-33;2007-11-21;Fundo Multimercado;2007-10-18;
09.141.883/0001-24;2007-11-06;Fundo de Ações;2007-10-18;
09.141.893/0001-60;2007-11-28;Fundo Multimercado;2007-10-18;
09.143.318/0001-04;2008-05-30;Fundo Multimercado;2007-10-18;
09.143.351/0001-26;2007-11-26;Fundo Multimercado;2007-10-18;
09.143.381/0001-32;2007-11-07;Fundo de Ações;2007-10-18;
09.143.411/0001-00;2007-12-28;Fundo de Renda Fixa;2007-10-18;
09.143.435/0001-60;2007-12-03;Fundo de Ações;2007-11-26;
09.143.509/0001-68;2007-11-26;Fundo Multimercado;2007-10-18;
09.144.219/0001-39;2007-10-23;Fundo Multimercado;2007-10-18;
09.144.584/0001-43;2008-01-16;Fundo Multimercado;2008-01-15;
09.144.597/0001-12;2008-01-09;Fundo Multimercado;2008-01-08;
09.144.609/0001-09;2008-01-09;Fundo Multimercado;2008-01-02;
09.144.614/0001-11;2008-01-09;Fundo Multimercado;2007-12-18;2009-12-07
09.144.614/0001-11;2008-01-09;Fundo de Curto Prazo;2009-12-07;
09.144.626/0001-46;2007-12-18;Fundo de Ações;2007-12-14;2012-04-05
09.144.626/0001-46;2007-12-18;Fundo Multimercado;2012-04-05;
09.144.648/0001-06;2008-01-09;Fundo Multimercado;2007-12-14;
09.144.654/0001-63;2007-12-18;Fundo Multimercado;2007-12-13;
09.144.681/0001-36;2008-01-02;Fundo Multimercado;2007-12-24;
09.144.690/0001-27;2007-12-11;Fundo de Renda Fixa;2007-09-05;2007-12-12
09.144.690/0001-27;2007-12-11;Fundo Multimercado;2007-12-12;
09.144.714/0001-48;2007-12-13;Fundo Multimercado;2007-12-11;
09.144.745/0001-07;2008-01-02;Fundo Multimercado;2007-12-27;
09.144.755/0001-34;2007-12-18;Fundo Multimercado;2007-12-14;
09.144.766/0001-14;2008-05-28;Fundo Multimercado;2008-05-26;
09.144.782/0001-07;2008-05-08;Fundo Multimercado;2008-04-29;2008-05-14
09.144.782/0001-07;2008-05-08;Fundo de Ações;2008-05-14;2010-09-01
09.144.782/0001-07;2008-05-08;Fundo Multimercado;2010-09-01;2011-09-15
09.144.782/0001-07;2008-05-08;Fundo de Ações;2011-09-15;2018-10-31
09.144.782/0001-07;2008-05-08;Fundo Multimercado;2018-10-31;
09.144.842/0001-91;2008-04-30;Fundo Multimercado;2008-04-23;
09.144.927/0001-70;2008-04-30;Fundo Multimercado;2008-04-17;
09.144.937/0001-05;2008-04-30;Fundo Multimercado;2008-04-16;
09.144.949/0001-30;2008-01-08;Fundo de Renda Fixa;2007-09-05;2008-03-17
09.144.949/0001-30;2008-01-08;Fundo Multimercado;2008-03-17;
09.144.964/0001-88;2008-01-08;Fundo de Renda Fixa;2007-09-05;2009-12-15
09.144.964/0001-88;2008-01-08;Fundo Multimercado;2009-12-15;
09.144.968/0001-66;2008-01-08;Fundo de Renda Fixa;2007-09-05;2010-06-10
09.144.968/0001-66;2008-01-08;Fundo Multimercado;2010-06-10;
09.144.983/0001-04;2008-01-09;Fundo de Renda Fixa;2008-01-08;
09.144.996/0001-83;2008-02-01;Fundo Multimercado;2008-01-28;
09.145.008/0001-10;2008-03-03;Fundo Multimercado;2008-02-26;
09.145.011/0001-34;2008-06-09;Fundo de Curto Prazo;2008-06-06;
09.145.017/0001-01;2008-04-17;Fundo Multimercado;2008-04-07;
09.145.023/0001-69;2008-04-17;Fundo Multimercado;2008-04-07;
09.145.030/0001-60;2008-04-17;Fundo Multimercado;2008-04-07;
09.145.039/0001-71;2008-04-11;Fundo Multimercado;2008-04-07;
09.145.075/0001-35;2008-12-15;Fundo Multimercado;2008-12-11;
09.145.100/0001-80;2008-01-08;Fundo Referenciado;2007-09-18;
09.145.104/0001-69;2008-01-07;Fundo Multimercado;2007-12-14;
09.145.108/0001-47;2009-10-23;Fundo Multimercado;2009-10-22;
09.145.117/0001-38;2008-01-08;Fundo Multimercado;2007-12-14;
09.145.127/0001-73;2008-01-09;Fundo de Ações;2007-12-12;
09.145.134/0001-75;2008-04-30;Fundo de Ações;2008-04-23;
09.145.157/0001-80;2008-01-08;Fundo de Renda Fixa;2007-09-05;2008-03-17
09.145.157/0001-80;2008-01-08;Fundo Multimercado;2008-03-17;
09.145.165/0001-26;2008-01-08;Fundo de Renda Fixa;2007-09-05;2008-03-25
09.145.165/0001-26;2008-01-08;Fundo Multimercado;2008-03-25;
09.145.182/0001-63;2008-03-11;Fundo Referenciado;2008-03-04;2015-11-09
09.145.182/0001-63;2008-03-11;Fundo de Renda Fixa;2015-11-09;
09.145.212/0001-31;2008-01-02;Fundo Multimercado;2007-12-20;
09.145.218/0001-09;2008-01-02;Fundo Multimercado;2007-11-19;
09.145.222/0001-77;2007-12-28;Fundo Multimercado;2007-12-19;
09.145.225/0001-00;2008-03-31;Fundo Referenciado;2008-03-28;2015-11-05
09.145.225/0001-00;2008-03-31;Fundo de Renda Fixa;2015-11-05;
09.145.230/0001-13;2007-12-07;Fundo de Renda Fixa;2007-06-25;2007-12-07
09.145.230/0001-13;2007-12-07;Fundo Multimercado;2007-12-07;
09.145.231/0001-68;2008-04-18;Fundo Multimercado;2008-04-07;
09.145.234/0001-00;2008-04-18;Fundo Multimercado;2008-04-07;
09.145.239/0001-24;2008-01-02;Fundo Multimercado;2007-12-11;
09.145.240/0001-59;2008-04-30;Fundo de Ações;2008-04-14;
09.145.250/0001-94;2008-04-30;Fundo de Ações;2008-04-14;
09.145.252/0001-83;2008-01-08;Fundo de Renda Fixa;2007-09-05;2008-04-01
09.145.252/0001-83;2008-01-08;Fundo Multimercado;2008-04-01;
09.145.263/0001-63;2008-04-30;Fundo Multimercado;2008-04-16;
09.145.274/0001-43;2008-04-30;Fundo Multimercado;2008-04-16;
09.145.276/0001-32;2008-01-08;Fundo de Renda Fixa;2007-09-05;2008-04-01
09.145.276/0001-32;2008-01-08;Fundo Multimercado;2008-04-01;
09.145.279/0001-76;2008-04-30;Fundo Multimercado;2008-04-17;
09.145.281/0001-45;2008-10-10;Fundo Multimercado;2008-10-09;
09.145.288/0001-67;2008-12-04;Fundo de Renda Fixa;2007-09-05;2008-12-04
09.145.288/0001-67;2008-12-04;Fundo de Curto Prazo;2008-12-04;
09.145.291/0001-80;2008-10-20;Fundo de Curto Prazo;2008-10-16;2015-11-10
09.145.291/0001-80;2008-10-20;Fundo de Renda Fixa;2015-11-10;
09.145.300/0001-33;2008-01-08;Fundo de Renda Fixa;2007-09-05;2008-04-01
09.145.300/0001-33;2008-01-08;Fundo Multimercado;2008-04-01;
09.145.304/0001-11;2008-01-08;Fundo de Renda Fixa;2007-09-05;2008-04-01
09.145.304/0001-11;2008-01-08;Fundo Multimercado;2008-04-01;
09.145.313/0001-02;2008-01-08;Fundo de Renda Fixa;2007-09-05;2008-04-01
09.145.313/0001-02;2008-01-08;Fundo Multimercado;2008-04-01;
09.145.325/0001-37;2008-08-28;Fundo Multimercado;2008-08-25;
09.145.333/0001-83;2008-06-12;Fundo Multimercado;2008-06-06;
09.145.340/0001-85;2009-11-17;Fundo de Renda Fixa;2009-11-17;2010-06-10
09.145.340/0001-85;2009-11-17;Fundo Multimercado;2010-06-10;
09.148.770/0001-50;2008-03-13;Fundo Multimercado;2008-03-11;
09.150.595/0001-36;2007-11-26;Fundo Multimercado;2007-10-10;
09.150.610/0001-46;2007-11-26;Fundo Multimercado;2007-10-10;
09.150.631/0001-61;2007-11-26;Fundo Multimercado;2007-11-26;
09.150.638/0001-83;2007-11-28;Fundo Multimercado;2007-10-10;
09.150.648/0001-19;2007-11-28;Fundo Multimercado;2007-10-10;
09.150.661/0001-78;2007-11-28;Fundo Multimercado;2007-10-10;
09.150.679/0001-70;2007-11-28;Fundo Multimercado;2007-10-10;2007-12-19
09.150.679/0001-70;2007-11-28;Fundo de Ações;2007-12-19;
09.150.700/0001-37;2007-12-04;Fundo Multimercado;2007-10-10;
09.150.710/0001-72;2007-12-04;Fundo Multimercado;2007-10-10;
09.150.720/0001-08;2007-12-04;Fundo Multimercado;2007-10-10;2008-11-20
09.150.720/0001-08;2007-12-04;Fundo de Ações;2008-11-20;2011-02-14
09.150.720/0001-08;2007-12-04;Fundo Multimercado;2011-02-14;
09.150.740/0001-89;2007-11-13;Fundo Multimercado;2007-10-10;
09.150.778/0001-51;2007-11-13;Fundo Multimercado;2007-10-10;
09.150.810/0001-07;2007-11-14;Fundo Multimercado;2007-10-10;
09.150.828/0001-09;2007-11-26;Fundo Multimercado;2007-11-26;
09.150.841/0001-50;2007-11-26;Fundo Multimercado;2007-10-10;
09.150.869/0001-97;2007-11-01;Fundo Multimercado;2007-10-10;
09.150.885/0001-80;2007-11-01;Fundo Multimercado;2007-10-10;
09.150.942/0001-20;2007-11-01;Fundo Multimercado;2007-10-10;
09.150.949/0001-42;2007-11-13;Fundo Multimercado;2007-10-10;
09.150.952/0001-66;2007-11-13;Fundo Multimercado;2007-10-10;
09.151.142/0001-24;2007-12-20;Fundo Multimercado;2007-12-08;
09.151.303/0001-80;2007-12-10;Fundo Multimercado;2007-10-08;
09.151.312/0001-70;2008-02-29;Fundo Multimercado;2007-10-08;
09.153.574/0001-74;2008-02-15;Fundo Multimercado;2008-02-15;
09.153.585/0001-54;2007-12-20;Fundo Multimercado;2007-10-08;
09.153.595/0001-90;2007-11-13;Fundo Multimercado;2007-10-08;
09.156.468/0001-44;2007-12-07;Fundo Multimercado;2007-10-18;
09.156.490/0001-94;2007-11-27;Fundo de Ações;2007-10-18;
09.156.521/0001-07;2007-12-21;Fundo Multimercado;2007-10-08;
09.156.543/0001-77;2007-12-19;Fundo Multimercado;2007-10-08;
09.156.557/0001-90;2008-01-02;Fundo Multimercado;2007-10-08;
09.158.961/0001-01;2007-11-12;Fundo Multimercado;2007-10-24;
09.158.996/0001-32;2007-11-12;Fundo Multimercado;2007-10-24;
09.162.973/0001-00;2008-10-31;Fundo Multimercado;2007-10-18;
09.163.044/0001-07;2007-12-21;Fundo Multimercado;2007-10-08;
09.163.045/0001-51;2008-03-13;Fundo Multimercado;2007-10-08;
09.164.332/0001-86;2007-11-09;Fundo de Ações;2007-10-25;
09.165.736/0001-94;2007-12-19;Fundo Multimercado;2007-10-10;
09.165.746/0001-20;2007-12-20;Fundo Multimercado;2007-10-10;
09.165.807/0001-59;2008-01-11;Fundo Multimercado;2007-10-22;
09.165.830/0001-43;2007-12-04;Fundo Multimercado;2007-10-10;
09.165.877/0001-07;2007-12-10;Fundo Multimercado;2007-10-10;
09.166.050/0001-18;2007-12-13;Fundo Multimercado;2007-12-13;
09.166.056/0001-95;2008-06-20;Fundo de Renda Fixa;2007-10-08;
09.166.077/0001-00;2008-01-14;Fundo de Renda Fixa;2007-12-08;
09.166.087/0001-46;2007-12-18;Fundo Multimercado;2007-10-10;
09.166.097/0001-81;2007-12-12;Fundo Multimercado;2007-10-10;
09.166.106/0001-34;2009-10-01;Fundo Multimercado;2007-10-08;
09.166.121/0001-82;2008-01-23;Fundo Multimercado;2007-10-08;
09.166.137/0001-95;2007-12-12;Fundo Multimercado;2007-10-08;
09.166.159/0001-55;2008-01-03;Fundo Multimercado;2007-10-08;
09.166.175/0001-48;2008-03-07;Fundo Multimercado;2007-10-08;
09.166.191/0001-30;2008-01-10;Fundo Multimercado;2007-10-08;
09.166.241/0001-80;2007-12-04;Fundo Multimercado;2007-10-10;
09.166.270/0001-41;2007-12-03;Fundo Multimercado;2007-10-22;
09.166.458/0001-90;2007-12-20;Fundo Multimercado;2007-10-08;
09.166.517/0001-20;2008-03-13;Fundo Multimercado;2007-10-08;
09.166.544/0001-00;2008-01-02;Fundo Multimercado;2007-10-22;
09.166.555/0001-82;2007-12-13;Fundo Multimercado;2007-10-08;
09.166.575/0001-53;2008-01-02;Fundo Multimercado;2007-10-08;
09.166.587/0001-88;2008-01-16;Fundo Multimercado;2007-10-08;
09.172.698/0001-05;2008-05-21;Fundo Multimercado;2007-10-08;
09.172.705/0001-60;2008-04-07;Fundo Multimercado;2007-10-08;2011-12-02
09.172.705/0001-60;2008-04-07;Fundo de Ações;2011-12-02;
09.172.720/0001-09;2007-12-21;Fundo Multimercado;2007-10-10;
09.172.724/0001-97;2007-12-04;Fundo Multimercado;2007-10-10;
09.172.733/0001-88;2007-12-26;Fundo Multimercado;2007-10-10;
09.172.740/0001-80;2007-12-03;Fundo Multimercado;2007-10-22;
09.172.742/0001-79;2008-01-22;Fundo Multimercado;2008-01-22;
09.172.753/0001-59;2007-11-23;Fundo de Ações;2007-10-22;
09.172.761/0001-03;2007-11-21;Fundo Multimercado;2007-10-24;
09.172.767/0001-72;2007-12-14;Fundo Multimercado;2007-10-10;
09.172.775/0001-19;2007-12-12;Fundo Multimercado;2007-10-10;
09.172.783/0001-65;2007-12-03;Fundo Multimercado;2007-10-10;
09.172.787/0001-43;2007-11-19;Fundo Multimercado;2007-10-22;
09.172.813/0001-33;2007-11-22;Fundo Multimercado;2007-10-03;
09.172.837/0001-92;2007-11-30;Fundo Multimercado;2007-10-22;
09.172.896/0001-60;2007-12-11;Fundo Multimercado;2007-10-22;
09.181.268/0001-41;2008-01-31;Fundo de Renda Fixa;2008-01-30;
09.181.271/0001-65;2008-04-01;Fundo de Renda Fixa;2008-03-31;
09.181.287/0001-78;2008-06-11;Fundo de Renda Fixa;2008-04-07;
09.181.291/0001-36;2008-02-28;Fundo de Renda Fixa;2008-02-26;
09.181.305/0001-11;2008-04-25;Fundo de Ações;2008-04-25;
09.181.313/0001-68;2008-03-26;Fundo de Renda Fixa;2008-03-25;
09.181.319/0001-35;2008-05-20;Fundo Multimercado;2008-05-20;
09.181.321/0001-04;2013-08-01;Fundo de Renda Fixa;2007-10-19;
09.181.327/0001-81;2008-10-27;Fundo de Renda Fixa;2007-10-19;
09.181.328/0001-26;2008-11-17;Fundo de Renda Fixa;2007-10-19;
09.181.335/0001-28;2009-03-24;Fundo de Renda Fixa;2007-10-19;2010-07-09
09.181.335/0001-28;2009-03-24;Fundo Multimercado;2010-07-09;
09.181.340/0001-30;2009-03-31;Fundo de Renda Fixa;2007-10-19;
09.181.347/0001-52;2008-05-07;Fundo Multimercado;2008-05-07;
09.181.353/0001-00;2008-05-08;Fundo Multimercado;2008-05-07;
09.181.357/0001-98;2011-07-15;Fundo de Renda Fixa;2007-10-19;
09.181.360/0001-01;2008-06-11;Fundo de Renda Fixa;2008-06-10;
09.185.905/0001-58;2007-12-20;Fundo Multimercado;2007-11-08;
09.185.909/0001-36;2007-12-10;Fundo de Ações;2007-11-08;
09.185.914/0001-49;2007-12-27;Fundo de Ações;2007-11-08;
09.185.921/0001-40;2007-12-27;Fundo de Ações;2007-11-08;
09.185.924/0001-84;2008-03-31;Fundo Multimercado;2008-02-29;
09.185.926/0001-73;2008-01-24;Fundo de Ações;2007-11-08;
09.185.930/0001-31;2009-03-12;Fundo Multimercado;2008-11-08;
09.185.936/0001-09;2008-10-13;Fundo Multimercado;2007-11-08;
09.185.940/0001-77;2007-12-06;Fundo de Ações;2007-11-08;
09.185.945/0001-08;2007-12-28;Fundo Multimercado;2007-11-08;
09.186.696/0001-67;2021-08-13;Fundo de Ações;2021-08-13;
09.187.403/0001-66;2010-08-04;Fundo Multimercado;2007-10-08;
09.187.990/0001-93;2008-01-02;Fundo Multimercado;2007-11-01;
09.188.002/0001-20;2008-01-02;Fundo Multimercado;2007-11-01;
09.188.082/0001-14;2008-01-08;Fundo Multimercado;2008-01-08;
