CNPJ_FUNDO;DT_REG;CLASSE;DT_INI_CLASSE;DT_FIM_CLASSE
00.539.553/0001-17;2005-02-11;Fundo de Renda Fixa;2005-01-27;2012-08-13
00.539.553/0001-17;2005-02-11;Fundo Multimercado;2012-08-13;
00.540.923/0001-36;2005-03-15;Fundo de Ações;2005-03-04;
00.542.020/0001-94;2005-03-28;Fundo Multimercado;2005-03-14;
00.555.305/0001-60;2005-03-08;Fundo Referenciado;2005-02-28;
00.555.306/0001-04;2005-03-08;Fundo Referenciado;2005-02-28;
00.575.922/0001-27;2004-12-09;Fundo de Ações;2004-11-29;
00.578.354/0001-18;2005-03-21;Fundo de Ações;2005-03-21;
00.581.317/0001-69;2005-04-08;Fundo de Ações;2005-03-28;
00.598.452/0001-17;2005-04-15;Fundo Referenciado;2005-03-31;2015-10-15
00.598.452/0001-17;2005-04-15;Fundo de Renda Fixa;2015-10-15;
00.601.692/0001-23;2005-03-18;Fundo de Ações;2005-03-08;
00.609.324/0001-21;2005-03-10;Fundo Referenciado;2005-02-28;
00.638.573/0001-45;2022-02-01;Fundo de Ações;2022-02-01;
00.702.678/0001-16;2005-02-15;Fundo de Renda Fixa;2005-02-01;2008-10-29
00.702.678/0001-16;2005-02-15;Fundo Multimercado;2008-10-29;
00.728.092/0001-20;2005-02-16;Fundo Referenciado;2005-02-01;
00.737.556/0001-65;2005-04-08;Fundo de Ações;2005-03-30;
00.739.178/0001-59;2005-02-04;Fundo de Ações;2005-01-28;
00.743.023/0001-96;2005-04-18;Fundo de Renda Fixa;2005-03-31;
00.743.026/0001-20;2005-04-15;Fundo de Renda Fixa;2005-03-31;
00.754.537/0001-47;2005-03-04;Fundo Multimercado;2005-02-18;
00.754.543/0001-02;2005-03-30;Fundo Multimercado;2005-03-21;
00.756.851/0001-69;2005-03-29;Fundo de Renda Fixa;2005-03-24;
00.765.534/0001-09;2005-02-15;Fundo Referenciado;2005-02-01;
00.766.538/0001-01;2005-04-01;Fundo de Renda Fixa;2005-03-24;
00.766.542/0001-70;2005-03-29;Fundo de Renda Fixa;2005-03-24;
00.777.815/0001-81;2005-04-07;Fundo Referenciado;2005-03-28;2016-03-08
00.777.815/0001-81;2005-04-07;Fundo de Renda Fixa;2016-03-08;
00.783.483/0001-48;2005-01-17;Fundo de Curto Prazo;2005-01-01;
00.785.365/0001-79;2005-03-21;Fundo de Renda Fixa;2005-03-10;
00.787.095/0001-35;2005-04-19;Fundo de Ações;2005-04-15;
00.792.191/0001-71;2005-03-16;Fundo Referenciado;2005-03-07;
00.792.338/0001-23;2005-03-16;Fundo Multimercado;2005-03-11;
00.793.576/0001-53;2005-03-16;Fundo de Curto Prazo;2005-03-11;
00.793.947/0001-05;2005-03-23;Fundo de Renda Fixa;2005-03-11;
00.793.949/0001-96;2005-03-09;Fundo de Curto Prazo;2005-02-25;
00.793.954/0001-07;2005-03-09;Fundo de Curto Prazo;2005-02-25;
00.794.186/0001-06;2005-04-18;Fundo Referenciado;2005-04-13;
00.794.187/0001-42;2005-04-18;Fundo de Renda Fixa;2005-04-13;
00.794.233/0001-03;2005-04-18;Fundo de Renda Fixa;2005-04-13;
00.795.546/0001-86;2005-03-16;Fundo Referenciado;2005-03-07;
00.795.808/0001-02;2005-03-11;Fundo de Curto Prazo;2005-03-11;
00.799.413/0001-88;2005-03-16;Fundo de Renda Fixa;2005-03-11;
00.799.415/0001-77;2005-03-14;Fundo Referenciado;2005-03-11;
00.799.931/0001-00;2005-03-04;Fundo de Curto Prazo;2005-02-28;2009-02-02
00.799.931/0001-00;2005-03-04;Fundo Referenciado;2009-02-02;
00.802.392/0001-02;2005-03-16;Fundo de Curto Prazo;2005-03-11;
00.802.726/0001-48;2005-03-15;Fundo Multimercado;2005-03-01;
00.804.091/0001-18;2005-01-14;Fundo Referenciado;2005-01-01;
00.806.282/0001-19;2005-02-03;Fundo Referenciado;2005-01-20;
00.806.285/0001-52;2005-03-22;Fundo Referenciado;2005-03-04;
00.807.777/0001-62;2005-05-23;Fundo de Renda Fixa;2005-05-11;
00.809.773/0001-13;2005-04-06;Fundo de Renda Fixa;2005-03-28;2008-07-25
00.809.773/0001-13;2005-04-06;Fundo de Curto Prazo;2008-07-25;2016-03-08
00.809.773/0001-13;2005-04-06;Fundo de Renda Fixa;2016-03-08;
00.810.710/0001-87;2005-03-15;Fundo de Renda Fixa;2005-03-01;
00.812.433/0001-41;2005-03-29;Fundo de Curto Prazo;2005-03-21;2015-10-19
00.812.433/0001-41;2005-03-29;Fundo de Renda Fixa;2015-10-19;
00.813.339/0001-07;2005-01-13;Fundo de Renda Fixa;2005-01-01;
00.813.340/0001-31;2005-01-13;Fundo Referenciado;2005-01-01;2016-04-07
00.813.340/0001-31;2005-01-13;Fundo de Renda Fixa;2016-04-07;
00.813.341/0001-86;2005-01-20;Fundo Referenciado;2005-01-14;
00.813.342/0001-20;2005-01-13;Fundo de Renda Fixa;2005-01-01;
